1102330	7867446	1
1102330	3368049	2
1102330	2914344	3
1102330	4778576	4
1102330	7867447	5
1102330	6110464	6
1102330	8699805	7
1102330	7867439	8
1102330	2045118	9
1102330	4935809	10
160885	7344400	1
160885	2184959	2
160885	7344405	3
160885	2820784	4
160885	8701022	5
160885	8423219	6
160885	4072714	7
160885	8674934	8
160885	7298823	9
160885	5200979	10
1091115	7941543	1
1091115	2029617	2
1091115	490051	3
1091115	8585608	4
1091115	7941541	5
1091115	7215416	6
1091115	1294043	7
1091115	567532	8
1091115	6707924	9
1091115	1294039	10
1091116	3918681	1
1091116	5104372	2
1091116	855502	3
1091116	2353376	4
1091116	7054608	5
1091116	266688	6
1091116	5845176	7
1091116	3769007	8
1091116	2846914	9
1091116	1779462	10
613179	7521587	1
613179	4473345	2
613179	4473346	3
613179	4473340	4
613179	3646405	5
613179	4473347	6
613179	3495139	7
613179	2819399	8
613179	3495137	9
613179	4473348	10
1092441	7829562	1
1092441	1902752	2
1092441	7829555	3
1092441	7829557	4
1092441	3371799	5
1092441	994140	6
1092441	7829560	7
1092441	994139	8
1092441	6767386	9
1092441	994134	10
1091112	7941837	1
1091112	7941832	2
1091112	7941831	3
1091112	7941830	4
1091112	5099866	5
1091112	1327267	6
1091112	6350385	7
1091112	4825369	8
1091112	6013683	9
1091112	5773727	10
1093773	8667604	1
1093773	8024888	2
1093773	8030867	3
1093773	6420942	4
1093773	4079954	5
1093773	7309893	6
1093773	6554915	7
1093773	6116442	8
1093773	1531989	9
1093773	971633	10
867490	3216917	1
867490	7975614	2
867490	7927989	3
867490	3590318	4
867490	1169100	5
867490	8674032	6
867490	2275604	7
867490	8067389	8
867490	7927992	9
867490	4296756	10
31595	468297	1
31595	6974313	2
31595	8428608	3
31595	5170515	4
31595	7578329	5
31595	3571137	6
31595	1924777	7
31595	5644241	8
31595	7477691	9
31595	5548076	10
1091108	2770278	1
1091108	5224795	2
1091108	2770277	3
1091108	8829217	4
1091108	8829225	5
1091108	7942127	6
1091108	8829222	7
1091108	1952196	8
1091108	7840619	9
1091108	1686734	10
54235	7243978	1
54235	3222552	2
54235	7243981	3
54235	7889595	4
54235	7349757	5
54235	1227917	6
54235	8194387	7
54235	3400112	8
54235	3222550	9
54235	7243982	10
306105	6523825	1
306105	7377513	2
306105	436928	3
306105	1222473	4
306105	1222466	5
306105	1222472	6
306105	6182641	7
306105	6776206	8
306105	246728	9
306105	4439142	10
1102335	7826611	1
1102335	7826613	2
1102335	7826612	3
1102335	2432453	4
1102335	6571634	5
1102335	2664003	6
1102335	716412	7
1102335	1699732	8
1102335	7727770	9
1102335	7329972	10
914321	3440920	1
914321	3440922	2
914321	1937701	3
914321	8392420	4
914321	4735650	5
914321	5560409	6
914321	4932514	7
914321	479121	8
914321	246904	9
914321	512428	10
1066161	1723185	1
1066161	2418458	2
1066161	8017252	3
1066161	8108514	4
1066161	7706955	5
1066161	1723184	6
1066161	4924846	7
1066161	4658867	8
1066161	8753366	9
1066161	7453377	10
93823	2548549	1
93823	3028274	2
93823	2554023	3
93823	3231879	4
93823	4245139	5
93823	5745802	6
93823	7655355	7
93823	8040893	8
93823	7655354	9
